
03/01/2018: Error: Uncaught TypeError: Cannot read property 'ciao' of undefined, Script: http://localhost/js/PONTEGGI_SOSPESI/FormPonteggioSospeso.js  Line: 151
09/01/2018, 09:01:27: Error: Uncaught TypeError: Cannot read property 'totale_non_scontato' of undefined, Script: http://localhost/  Line: 671
09/01/2018, 09:01:59: Error: Uncaught TypeError: Cannot read property 'totale_non_scontato' of undefined, Script: http://localhost/  Line: 671
11/01/2018, 06:01:24: Error: Uncaught SyntaxError: Unexpected token o in JSON at position 1, Script: http://localhost/  Line: 1
11/01/2018, 06:01:43: Error: Uncaught SyntaxError: Unexpected token o in JSON at position 1, Script: http://localhost/  Line: 1
11/01/2018, 06:01:31: Error: Uncaught SyntaxError: Unexpected token o in JSON at position 1, Script: http://localhost/  Line: 1
11/01/2018, 07:01:51: Error: Uncaught TypeError: _this.obj.aggiornaRiepilogo is not a function, Script: http://localhost/  Line: 419
12/01/2018, 08:01:09: Error: Uncaught TypeError: Cannot read property 'codice' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
12/01/2018, 08:01:42: Error: Uncaught TypeError: Cannot read property 'codice' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
12/01/2018, 09:01:22: Error: Uncaught TypeError: Cannot read property 'format' of undefined, Script: http://localhost/  Line: 477
12/01/2018, 09:01:07: Error: Uncaught TypeError: Cannot read property 'apertura' of undefined, Script: http://localhost/  Line: 17
12/01/2018, 09:01:53: Error: Uncaught TypeError: Cannot read property 'apertura' of undefined, Script: http://localhost/  Line: 17
12/01/2018, 09:01:41: Error: Uncaught TypeError: Cannot set property 'lastPortaCantina' of undefined, Script: http://localhost/js/PORTE_CANTINA/FormPortaCantina.js  Line: 52
12/01/2018, 09:01:40: Error: Uncaught TypeError: Cannot read property 'grigliaSuperiore' of null, Script: http://localhost/  Line: 130
12/01/2018, 09:01:16: Error: Uncaught TypeError: undefined is not a constructor, Script: http://localhost/  Line: 1
13/01/2018, 05:01:23: Error: Uncaught TypeError: undefined is not a constructor, Script: http://localhost/  Line: 1
13/01/2018, 05:01:12: Error: Uncaught ReferenceError: sconto is not defined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
13/01/2018, 05:01:51: Error: Uncaught TypeError: Cannot read property 'sconto' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
13/01/2018, 05:01:37: Error: Uncaught TypeError: Cannot read property 'grigliaSuperiore' of null, Script: http://localhost/  Line: 130
13/01/2018, 05:01:04: Error: Uncaught TypeError: Cannot read property 'grigliaSuperiore' of null, Script: http://localhost/  Line: 127
13/01/2018, 05:01:33: Error: Uncaught TypeError: Cannot read property 'grigliaSuperiore' of null, Script: http://localhost/  Line: 129
13/01/2018, 05:01:34: Error: Uncaught TypeError: Cannot read property 'grigliaSuperiore' of null, Script: http://localhost/  Line: 129
13/01/2018, 07:01:20: Error: Uncaught TypeError: Cannot read property 'tipologia' of undefined, Script: http://localhost/  Line: 19
13/01/2018, 10:01:14: Error: Uncaught TypeError: Cannot set property 'lastSelezione' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
13/01/2018, 10:01:14: Error: Uncaught TypeError: Cannot read property 'boo' of undefined, Script: http://localhost/  Line: 401
13/01/2018, 10:01:36: Error: Uncaught TypeError: Cannot read property 'boo' of undefined, Script: http://localhost/  Line: 72
14/01/2018, 09:01:13: Error: Uncaught TypeError: Cannot read property 'tipologia' of undefined, Script: http://localhost/  Line: 17
14/01/2018, 09:01:31: Error: Uncaught ReferenceError: cookieSelezione is not defined, Script: http://localhost/  Line: 201
14/01/2018, 09:01:18: Error: Uncaught TypeError: Cannot read property 'ante' of undefined, Script: http://localhost/  Line: 384
14/01/2018, 09:01:34: Error: Uncaught ReferenceError: selezione is not defined, Script: http://localhost/  Line: 229
14/01/2018, 09:01:30: Error: Uncaught TypeError: Cannot read property 'ante' of undefined, Script: http://localhost/  Line: 18
14/01/2018, 09:01:04: Error: Uncaught ReferenceError: selezione is not defined, Script: http://localhost/  Line: 230
14/01/2018, 09:01:59: Error: Uncaught TypeError: Cannot read property 'accessori' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
14/01/2018, 09:01:17: Error: Uncaught TypeError: Cannot read property 'prodotto' of undefined, Script: http://localhost/  Line: 24
14/01/2018, 09:01:42: Error: Uncaught TypeError: Cannot read property 'modifica' of undefined, Script: http://localhost/  Line: 302
14/01/2018, 09:01:08: Error: Uncaught TypeError: Cannot read property 'main' of undefined, Script: http://localhost/  Line: 302
14/01/2018, 09:01:08: Error: Uncaught TypeError: Cannot read property 'lastSelezione' of undefined, Script: http://localhost/  Line: 302
14/01/2018, 09:01:27: Error: Uncaught TypeError: Cannot read property 'modifica' of undefined, Script: http://localhost/  Line: 302
14/01/2018, 10:01:39: Error: Uncaught TypeError: Cannot read property 'riferimento' of undefined, Script: http://localhost/  Line: 600
14/01/2018, 10:01:24: Error: Uncaught TypeError: Cannot read property 'riferimento' of undefined, Script: http://localhost/  Line: 600
14/01/2018, 10:01:22: Error: Uncaught TypeError: Cannot read property 'prodotto' of undefined, Script: http://localhost/  Line: 38
14/01/2018, 10:01:04: Error: Uncaught TypeError: Cannot read property 'famiglia' of undefined, Script: http://localhost/  Line: 18
14/01/2018, 10:01:14: Error: Uncaught ReferenceError: selezione is not defined, Script: http://localhost/  Line: 13
14/01/2018, 10:01:36: Error: Uncaught ReferenceError: selezione is not defined, Script: http://localhost/  Line: 65
14/01/2018, 10:01:22: Error: Uncaught TypeError: location.refresh is not a function, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
14/01/2018, 10:01:28: Error: Uncaught TypeError: location.refresh is not a function, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
14/01/2018, 11:01:01: Error: Uncaught TypeError: Cannot read property 'porta' of undefined, Script: http://localhost/  Line: 271
14/01/2018, 11:01:26: Error: Uncaught TypeError: Cannot read property 'ingombro' of undefined, Script: http://localhost/  Line: 22
14/01/2018, 11:01:48: Error: Uncaught TypeError: Cannot read property 'ingombro' of undefined, Script: http://localhost/  Line: 22
14/01/2018, 11:01:05: Error: Uncaught TypeError: Cannot read property 'accessori' of undefined, Script: http://localhost/  Line: 21
14/01/2018, 11:01:01: Error: Uncaught ReferenceError: Bascluante is not defined, Script: http://localhost/  Line: 1
14/01/2018, 11:01:29: Error: Uncaught ReferenceError: Bascluante is not defined, Script: http://localhost/  Line: 1
14/01/2018, 11:01:43: Error: Uncaught TypeError: Cannot read property 'modifica' of undefined, Script: http://localhost/  Line: 575
14/01/2018, 11:01:26: Error: Uncaught ReferenceError: selezione is not defined, Script: http://localhost/  Line: 56
14/01/2018, 11:01:40: Error: Uncaught TypeError: Cannot read property 'lastSelezione' of undefined, Script: http://localhost/  Line: 573
14/01/2018, 11:01:03: Error: Uncaught TypeError: Cannot read property 'format' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
14/01/2018, 11:01:24: Error: Uncaught TypeError: Cannot read property 'format' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
14/01/2018, 11:01:42: Error: Uncaught TypeError: Cannot read property 'format' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
14/01/2018, 11:01:09: Error: Uncaught TypeError: Cannot read property 'dx' of null, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
14/01/2018, 12:01:32: Error: Uncaught TypeError: Cannot read property 'codice' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
14/01/2018, 12:01:54: Error: Uncaught TypeError: Cannot read property 'codice' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
14/01/2018, 12:01:09: Error: Uncaught TypeError: Cannot read property 'undefined' of undefined, Script: http://localhost/  Line: 706
14/01/2018, 12:01:41: Error: Uncaught TypeError: Cannot read property 'undefined' of undefined, Script: http://localhost/  Line: 706
14/01/2018, 12:01:27: Error: Uncaught TypeError: Cannot read property 'up' of undefined, Script: http://localhost/  Line: 1007
14/01/2018, 12:01:37: Error: Uncaught TypeError: Cannot read property 'split' of null, Script: http://localhost/  Line: 286
14/01/2018, 12:01:06: Error: Uncaught ReferenceError: selezione is not defined, Script: http://localhost/  Line: 95
14/01/2018, 04:01:49: Error: Uncaught ReferenceError: Riepilogo is not defined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
14/01/2018, 04:01:27: Error: Uncaught TypeError: Cannot read property 'lastSelezione' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
14/01/2018, 04:01:22: Error: Uncaught TypeError: Cannot read property 'lastSelezione' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
14/01/2018, 04:01:56: Error: Uncaught TypeError: Cannot read property 'main' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
14/01/2018, 04:01:42: Error: Uncaught TypeError: Cannot read property 'lastSelezione' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
14/01/2018, 04:01:03: Error: Uncaught TypeError: Cannot read property 'lastSelezione' of undefined, Script: http://localhost/js/Riepilogo/Riepilogo.js  Line: 14
14/01/2018, 04:01:07: Error: Uncaught TypeError: Cannot read property 'lastSelezione' of undefined, Script: http://localhost/js/Riepilogo/Riepilogo.js  Line: 14
14/01/2018, 04:01:34: Error: Uncaught TypeError: Cannot read property 'loader' of undefined, Script: http://localhost/js/Riepilogo/Riepilogo.js  Line: 101
14/01/2018, 04:01:56: Error: Uncaught TypeError: _this.loadSezione is not a function, Script: http://localhost/js/PONTEGGI_SOSPESI/FormPonteggioSospeso.js  Line: 163
14/01/2018, 04:01:18: Error: Uncaught TypeError: Cannot read property 'loadSezione' of undefined, Script: http://localhost/js/PONTEGGI_SOSPESI/FormPonteggioSospeso.js  Line: 163
14/01/2018, 04:01:43: Error: Script error., Script:   Line: 0
14/01/2018, 04:01:27: Error: Script error., Script:   Line: 0
14/01/2018, 04:01:26: Error: Script error., Script:   Line: 0
14/01/2018, 04:01:26: Error: Script error., Script:   Line: 0
14/01/2018, 05:01:17: Error: Uncaught TypeError: Cannot read property 'completeAllSteps' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
14/01/2018, 05:01:15: Error: Uncaught ReferenceError: PonteggioSospeso is not defined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
14/01/2018, 05:01:50: Error: Uncaught ReferenceError: PonteggioSospeso is not defined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
14/01/2018, 05:01:25: Error: Uncaught ReferenceError: PonteggioSospeso is not defined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
14/01/2018, 05:01:45: Error: Uncaught ReferenceError: PonteggioSospeso is not defined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
14/01/2018, 05:01:34: Error: Uncaught TypeError: undefined is not a constructor, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
14/01/2018, 05:01:59: Error: Uncaught ReferenceError: Sconto is not defined, Script: http://localhost/  Line: 1
14/01/2018, 05:01:38: Error: Uncaught TypeError: Cannot read property 'costo' of undefined, Script: http://localhost/  Line: 196
14/01/2018, 05:01:58: Error: Uncaught TypeError: Cannot read property 'currentStep' of undefined, Script: http://localhost/js/PONTEGGI_ELETTRICI/FormPonteggioElettrico.js  Line: 207
14/01/2018, 05:01:46: Error: Uncaught TypeError: Cannot read property 'modifica' of undefined, Script: http://localhost/  Line: 565
14/01/2018, 05:01:51: Error: Uncaught TypeError: Cannot read property 'lastSelezione' of undefined, Script: http://localhost/  Line: 565
14/01/2018, 06:01:30: Error: Uncaught TypeError: Cannot read property 'costo' of undefined, Script: http://localhost/  Line: 195
14/01/2018, 06:01:33: Error: Uncaught TypeError: Cannot set property 'totale_non_scontato' of undefined, Script: http://localhost/  Line: 201
15/01/2018, 02:01:58: Error: Uncaught TypeError: Cannot read property 'ruolo' of null, Script: http://localhost/js/Menu.js  Line: 102
15/01/2018, 03:01:32: Error: Uncaught TypeError: Cannot read property 'modifica' of null, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
17/01/2018, 07:01:54: Error: Uncaught TypeError: Cannot read property 'riferimento' of undefined, Script: http://localhost/index.html  Line: 454
17/01/2018, 08:01:00: Error: Uncaught TypeError: location.refresh is not a function, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
17/01/2018, 08:01:13: Error: Uncaught TypeError: location.refresh is not a function, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
17/01/2018, 08:01:06: Error: Uncaught TypeError: location.refresh is not a function, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
17/01/2018, 08:01:07: Error: Uncaught TypeError: location.refresh is not a function, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
17/01/2018, 08:01:43: Error: Uncaught TypeError: location.refresh is not a function, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
17/01/2018, 08:01:59: Error: Uncaught ReferenceError: prezzo_definitivo is not defined, Script: http://localhost/js/Riepilogo/Riepilogo.js  Line: 430
17/01/2018, 11:01:39: Error: Uncaught TypeError: Cannot read property 'lastSelezione' of undefined, Script: http://localhost/js/Carrello/Carrello.js  Line: 152
17/01/2018, 01:01:08: Error: Uncaught TypeError: Cannot read property 'H' of undefined, Script: http://localhost/  Line: 964
17/01/2018, 02:01:39: Error: Uncaught TypeError: Cannot read property 'addClass' of undefined, Script: http://localhost/js/Menu.js  Line: 200
17/01/2018, 02:01:13: Error: Uncaught TypeError: Cannot read property 'addClass' of undefined, Script: http://localhost/js/Menu.js  Line: 200
25/01/2018, 10:01:16: Error: Uncaught TypeError: Cannot set property 'classe' of undefined, Script: http://localhost/js/functions.js  Line: 43
25/01/2018, 10:01:08: Error: Uncaught TypeError: Cannot read property 'aa' of undefined, Script: http://localhost/js/PONTEGGI_SOSPESI/FormPonteggioSospeso.js?R=20  Line: 63
25/01/2018, 10:01:06: Error: Uncaught TypeError: Cannot read property 'aa' of undefined, Script: http://localhost/js/PONTEGGI_SOSPESI/FormPonteggioSospeso.js?R=20  Line: 63
25/01/2018, 10:01:50: Error: Uncaught TypeError: Cannot read property 'aa' of undefined, Script: http://localhost/js/PONTEGGI_SOSPESI/FormPonteggioSospeso.js?R=20  Line: 63
25/01/2018, 10:01:59: Error: Uncaught TypeError: Cannot read property 'aa' of undefined, Script: http://localhost/js/PONTEGGI_SOSPESI/FormPonteggioSospeso.js?R=20  Line: 63
25/01/2018, 10:01:13: Error: Uncaught TypeError: Cannot read property 'aa' of undefined, Script: http://localhost/js/PONTEGGI_SOSPESI/FormPonteggioSospeso.js?R=20  Line: 63
25/01/2018, 10:01:25: Error: Uncaught TypeError: Cannot read property 'aa' of undefined, Script: http://localhost/js/PONTEGGI_SOSPESI/FormPonteggioSospeso.js?R=20  Line: 63
25/01/2018, 10:01:30: Error: Uncaught TypeError: Cannot read property 'aa' of undefined, Script: http://localhost/js/PONTEGGI_SOSPESI/FormPonteggioSospeso.js?R=20  Line: 63
25/01/2018, 10:01:51: Error: Uncaught TypeError: Cannot read property 'aa' of undefined, Script: http://localhost/js/PONTEGGI_SOSPESI/FormPonteggioSospeso.js?R=20  Line: 63
25/01/2018, 10:01:12: Error: Uncaught TypeError: Cannot read property 'aa' of undefined, Script: http://localhost/js/PONTEGGI_SOSPESI/FormPonteggioSospeso.js?R=20  Line: 63
25/01/2018, 10:01:27: Error: Uncaught TypeError: Cannot read property 'aa' of undefined, Script: http://localhost/js/PONTEGGI_SOSPESI/FormPonteggioSospeso.js?R=20  Line: 63
25/01/2018, 11:01:21: Error: Uncaught ReferenceError: idImmagini is not defined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
25/01/2018, 11:01:53: Error: Uncaught TypeError: _this.content.loadSezioni is not a function, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
25/01/2018, 12:01:58: Error: Uncaught ReferenceError: accounts is not defined, Script: http://localhost/js/Utente/GestioneUtenti.js  Line: 192
25/01/2018, 12:01:45: Error: Uncaught TypeError: Cannot read property 'success' of null, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
25/01/2018, 12:01:33: Error: Uncaught TypeError: _this.content.loadSezioni is not a function, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
25/01/2018, 12:01:14: Error: Uncaught TypeError: Cannot read property 'loadSezioni' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
25/01/2018, 12:01:59: Error: Uncaught ReferenceError: Utenti is not defined, Script: http://localhost/  Line: 1
01/05/2018, 12:05:39: Error: Uncaught TypeError: Home is not a constructor, Script: http://localhost/cerrato_new/index.html#  Line: 1
01/05/2018, 12:05:41: Error: Uncaught TypeError: Home is not a constructor, Script: http://localhost/cerrato_new/index.html#  Line: 1
01/05/2018, 12:05:28: Error: Uncaught TypeError: Home is not a constructor, Script: http://localhost/cerrato_new/index.html#  Line: 1
01/05/2018, 12:05:30: Error: Uncaught TypeError: Home is not a constructor, Script: http://localhost/cerrato_new/index.html#  Line: 1
01/05/2018, 12:05:42: Error: Uncaught TypeError: Home is not a constructor, Script: http://localhost/cerrato_new/index.html#  Line: 1
01/05/2018, 12:05:44: Error: Uncaught TypeError: Home is not a constructor, Script: http://localhost/cerrato_new/index.html#  Line: 1
01/05/2018, 12:05:56: Error: Uncaught TypeError: Home is not a constructor, Script: http://localhost/cerrato_new/index.html#  Line: 1
01/05/2018, 12:05:25: Error: Uncaught ReferenceError: Home1 is not defined, Script: http://localhost/cerrato_new/index.html#  Line: 1
01/05/2018, 12:05:27: Error: Uncaught ReferenceError: Home1 is not defined, Script: http://localhost/cerrato_new/index.html#  Line: 1
01/05/2018, 12:05:55: Error: Uncaught ReferenceError: Home1 is not defined, Script: http://localhost/cerrato_new/index.html#  Line: 1
01/05/2018, 12:05:57: Error: Uncaught ReferenceError: Home1 is not defined, Script: http://localhost/cerrato_new/index.html#  Line: 1
01/05/2018, 12:05:04: Error: Uncaught ReferenceError: Home1 is not defined, Script: http://localhost/cerrato_new/index.html#  Line: 1
01/05/2018, 12:05:06: Error: Uncaught ReferenceError: Home1 is not defined, Script: http://localhost/cerrato_new/index.html#  Line: 1
01/05/2018, 12:05:56: Error: Uncaught TypeError: Home1 is not a constructor, Script: http://localhost/cerrato_new/index.html#  Line: 1
01/05/2018, 12:05:58: Error: Uncaught TypeError: Home1 is not a constructor, Script: http://localhost/cerrato_new/index.html#  Line: 1
01/05/2018, 12:05:06: Error: Uncaught TypeError: Home1 is not a constructor, Script: http://localhost/cerrato_new/index.html#  Line: 1
01/05/2018, 12:05:12: Error: Uncaught TypeError: Home1 is not a constructor, Script: http://localhost/cerrato_new/index.html#  Line: 1
01/05/2018, 12:05:14: Error: Uncaught TypeError: Home1 is not a constructor, Script: http://localhost/cerrato_new/index.html#  Line: 1
01/05/2018, 12:05:35: Error: Uncaught TypeError: Home is not a constructor, Script: http://localhost/cerrato_new/index.html#  Line: 1
01/05/2018, 12:05:57: Error: Uncaught TypeError: Home is not a constructor, Script: http://localhost/cerrato_new/index.html#  Line: 1
01/05/2018, 12:05:27: Error: Uncaught TypeError: Home is not a constructor, Script: http://localhost/cerrato_new/index.html#  Line: 1
01/05/2018, 12:05:53: Error: Uncaught TypeError: Home is not a constructor, Script: http://localhost/cerrato_new/index.html#  Line: 1
01/05/2018, 12:05:59: Error: Uncaught TypeError: Home is not a constructor, Script: http://localhost/cerrato_new/index.html#  Line: 1
01/05/2018, 12:05:21: Error: Script error., Script:   Line: 0
01/05/2018, 12:05:30: Error: Uncaught TypeError: Home is not a constructor, Script: http://localhost/cerrato_new/index.html#  Line: 1
03/05/2018, 08:05:06: Error: Uncaught TypeError: Home is not a constructor, Script: http://localhost/cerrato_new/  Line: 1
03/05/2018, 08:05:08: Error: Uncaught TypeError: Home is not a constructor, Script: http://localhost/cerrato_new/  Line: 1
03/05/2018, 08:05:07: Error: Script error., Script:   Line: 0
03/05/2018, 08:05:09: Error: Script error., Script:   Line: 0
03/05/2018, 08:05:15: Error: Script error., Script:   Line: 0
03/05/2018, 08:05:31: Error: Script error., Script:   Line: 0
03/05/2018, 08:05:35: Error: Script error., Script:   Line: 0
03/05/2018, 08:05:45: Error: Uncaught TypeError: $(...).datepicker is not a function, Script: http://localhost/cerrato_new/js/jquery-1.9.1.min.js  Line: 5
03/05/2018, 08:05:44: Error: Uncaught TypeError: $(...).datepicker is not a function, Script: http://localhost/cerrato_new/js/jquery-1.9.1.min.js  Line: 5
03/05/2018, 09:05:13: Error: Uncaught TypeError: $(...).datepicker is not a function, Script: http://localhost/cerrato_new/js/jquery-1.9.1.min.js  Line: 5
04/05/2018, 04:05:51: Error: Uncaught TypeError: jQuery(...).addAttr is not a function, Script: http://localhost/cerrato_new/index.html  Line: 464
04/05/2018, 04:05:57: Error: Uncaught TypeError: jQuery(...).addAttr is not a function, Script: http://localhost/cerrato_new/index.html  Line: 464
04/05/2018, 04:05:59: Error: Uncaught TypeError: jQuery(...).addAttr is not a function, Script: http://localhost/cerrato_new/index.html  Line: 464
04/05/2018, 05:05:23: Error: Uncaught TypeError: $(...).idealforms is not a function, Script: http://localhost/cerrato_new/js/PONTEGGI_SOSPESI/FormPonteggioSospeso.js?R=21  Line: 83
04/05/2018, 05:05:19: Error: Uncaught TypeError: $(...).idealforms is not a function, Script: http://localhost/cerrato_new/js/PONTEGGI_SOSPESI/FormPonteggioSospeso.js?R=21  Line: 97
04/05/2018, 05:05:43: Error: Uncaught TypeError: $(...).idealforms is not a function, Script: http://localhost/cerrato_new/js/PONTEGGI_SOSPESI/FormPonteggioSospeso.js?R=21  Line: 97
04/05/2018, 05:05:01: Error: Uncaught TypeError: $(...).idealforms is not a function, Script: http://localhost/cerrato_new/js/PONTEGGI_SOSPESI/FormPonteggioSospeso.js?R=21  Line: 97
04/05/2018, 05:05:32: Error: Uncaught TypeError: $(...).idealforms is not a function, Script: http://localhost/cerrato_new/js/PONTEGGI_SOSPESI/FormPonteggioSospeso.js?R=21  Line: 97
04/05/2018, 05:05:44: Error: Uncaught TypeError: $(...).idealforms is not a function, Script: http://localhost/cerrato_new/js/PONTEGGI_SOSPESI/FormPonteggioSospeso.js?R=21  Line: 97
04/05/2018, 05:05:54: Error: Uncaught TypeError: $(...).idealforms is not a function, Script: http://localhost/cerrato_new/js/PONTEGGI_SOSPESI/FormPonteggioSospeso.js?R=21  Line: 97
04/05/2018, 05:05:03: Error: Uncaught TypeError: $(...).idealforms is not a function, Script: http://localhost/cerrato_new/js/PONTEGGI_SOSPESI/FormPonteggioSospeso.js?R=21  Line: 97
04/05/2018, 05:05:13: Error: Uncaught TypeError: $(...).idealforms is not a function, Script: http://localhost/cerrato_new/js/PONTEGGI_SOSPESI/FormPonteggioSospeso.js?R=21  Line: 97
04/05/2018, 05:05:24: Error: Uncaught TypeError: $(...).idealforms is not a function, Script: http://localhost/cerrato_new/js/PONTEGGI_SOSPESI/FormPonteggioSospeso.js?R=21  Line: 97
04/05/2018, 05:05:41: Error: Uncaught TypeError: $(...).idealforms is not a function, Script: http://localhost/cerrato_new/js/PONTEGGI_SOSPESI/FormPonteggioSospeso.js?R=21  Line: 96
04/05/2018, 05:05:05: Error: Uncaught TypeError: $(...).idealforms is not a function, Script: http://localhost/cerrato_new/js/PONTEGGI_SOSPESI/FormPonteggioSospeso.js?R=21  Line: 96
04/05/2018, 05:05:57: Error: Uncaught TypeError: $(...).idealforms is not a function, Script: http://localhost/cerrato_new/index.html#  Line: 5
04/05/2018, 06:05:27: Error: Uncaught TypeError: $(...).idealforms is not a function, Script: http://localhost/cerrato_new/index.html#  Line: 5
04/05/2018, 06:05:07: Error: Uncaught TypeError: $(...).idealforms is not a function, Script: http://localhost/cerrato_new/js/PONTEGGI_SOSPESI/FormPonteggioSospeso.js?R=21  Line: 96
04/05/2018, 06:05:45: Error: Uncaught TypeError: $(...).idealforms is not a function, Script: http://localhost/cerrato_new/index.html#  Line: 5
04/05/2018, 06:05:53: Error: Uncaught TypeError: $(...).idealforms is not a function, Script: http://localhost/cerrato_new/js/PONTEGGI_SOSPESI/FormPonteggioSospeso.js?R=21  Line: 96
04/05/2018, 06:05:24: Error: Uncaught TypeError: $(...).idealforms is not a function, Script: http://localhost/cerrato_new/js/PONTEGGI_SOSPESI/FormPonteggioSospeso.js?R=21  Line: 96
04/05/2018, 06:05:59: Error: Uncaught TypeError: $(...).idealforms is not a function, Script: http://localhost/cerrato_new/js/PONTEGGI_SOSPESI/FormPonteggioSospeso.js?R=21  Line: 96
04/05/2018, 06:05:26: Error: Uncaught TypeError: _this.elem.find(...).idealforms is not a function, Script: http://localhost/cerrato_new/js/PONTEGGI_SOSPESI/FormPonteggioSospeso.js?R=21  Line: 96
04/05/2018, 06:05:50: Error: Uncaught TypeError: $(...).idealforms is not a function, Script: http://localhost/cerrato_new/js/PONTEGGI_SOSPESI/FormPonteggioSospeso.js?R=21  Line: 96
04/05/2018, 06:05:17: Error: Uncaught TypeError: $(...).idealforms is not a function, Script: http://localhost/cerrato_new/index.html#  Line: 4
04/05/2018, 06:05:20: Error: Uncaught TypeError: $(...).idealforms is not a function, Script: http://localhost/cerrato_new/index.html#  Line: 4
04/05/2018, 06:05:15: Error: Uncaught TypeError: $(...).idealforms is not a function, Script: http://localhost/cerrato_new/index.html#  Line: 4
04/05/2018, 06:05:14: Error: Uncaught TypeError: $(...).idealforms is not a function, Script: http://localhost/cerrato_new/index.html#  Line: 4
04/05/2018, 06:05:08: Error: Uncaught TypeError: $(...).idealforms is not a function, Script: http://localhost/cerrato_new/index.html#  Line: 4
04/05/2018, 06:05:08: Error: Uncaught TypeError: $(...).idealforms is not a function, Script: http://localhost/cerrato_new/index.html#  Line: 4
04/05/2018, 06:05:16: Error: Uncaught TypeError: $(...).idealforms is not a function, Script: http://localhost/cerrato_new/index.html#  Line: 4
04/05/2018, 06:05:46: Error: Uncaught TypeError: $(...).idealforms is not a function, Script: http://localhost/cerrato_new/index.html#  Line: 4
04/05/2018, 06:05:51: Error: Uncaught TypeError: $(...).idealforms is not a function, Script: http://localhost/cerrato_new/index.html#  Line: 4
04/05/2018, 06:05:16: Error: Uncaught TypeError: $(...).idealforms is not a function, Script: http://localhost/cerrato_new/index.html#  Line: 5
04/05/2018, 06:05:35: Error: Uncaught TypeError: $(...).idealforms is not a function, Script: http://localhost/cerrato_new/index.html#  Line: 4
04/05/2018, 06:05:32: Error: Uncaught TypeError: $(...).idealforms is not a function, Script: http://localhost/cerrato_new/index.html#  Line: 4
04/05/2018, 06:05:28: Error: Uncaught TypeError: $(...).idealforms is not a function, Script: http://localhost/cerrato_new/index.html#  Line: 3
04/05/2018, 06:05:28: Error: Uncaught TypeError: $(...).idealforms is not a function, Script: http://localhost/cerrato_new/index.html#  Line: 3
04/05/2018, 06:05:42: Error: Uncaught TypeError: $(...).idealforms is not a function, Script: http://localhost/cerrato_new/index.html#  Line: 3
04/05/2018, 06:05:15: Error: Uncaught TypeError: $(...).idealforms is not a function, Script: http://localhost/cerrato_new/index.html#  Line: 3
04/05/2018, 10:05:49: Error: Uncaught SyntaxError: Unexpected token ;, Script: http://localhost/cerrato_new/js/jquery-1.9.1.min.js  Line: 5
04/05/2018, 10:05:41: Error: Script error., Script:   Line: 0
04/05/2018, 10:05:01: Error: Uncaught SyntaxError: Unexpected token ), Script: http://localhost/cerrato_new/js/jquery-1.9.1.min.js  Line: 5
05/05/2018, 03:05:14: Error: Uncaught ReferenceError: dato is not defined, Script: http://localhost/cerrato_new/js/jquery-1.9.1.min.js  Line: 5
05/05/2018, 06:05:56: Error: Uncaught ReferenceError: Basculante is not defined, Script: http://localhost/cerrato_new/index.html#  Line: 1
